Date,Perry North,ALCOSAN,Shaler,Kennedy Twp.,Upper St. Clair,Carnegie,Greentree,Lawrenceville,University of Pittsburgh,Highland Park,Nine Mile Run,Baldwin,Braddock,Churchill,Trafford,Castle Shannon,Bridgeville,Oakdale,Penn Hills North,Penn Hills South,Moon Twp,North Fayette,Findlay,Pleasant Hills,White Oak,Elizabeth Twp.,Marshall,Plum,Bell Acres,Franklin Park,Hampton,Arnold,Richland
2/1/2021 0:00,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,-9999,0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0
2/1/2021 0:15,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0
2/1/2021 0:30,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0
2/1/2021 0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2021 1:00,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
2/1/2021 1:15,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0
2/1/2021 1:30,0.01,0,0.01,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.01,-9999,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01
2/1/2021 1:45,0,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0.01,0,0,0,0,0.02,0,0,0,0.01,0,0.01,0,0
2/1/2021 2:00,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0
2/1/2021 2:15,0,0,0.01,0,0.02,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,-9999,0.01,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0
