Date,County Name,Partially Covered,Fully Covered,Additional Dose
12/14/2020,Allegheny,12,3,
12/14/2020,Chester,2,,
12/14/2020,Erie,1,,
12/14/2020,Franklin,1,,
12/14/2020,Lancaster,2,,
12/14/2020,Lehigh,1,,
12/14/2020,Luzerne,1,,
12/14/2020,Lycoming,1,,
12/14/2020,Mifflin,1,,
12/14/2020,Philadelphia,1,,
12/14/2020,Pike,1,,
12/14/2020,Schuylkill,1,,
12/14/2020,Washington,1,,
12/14/2020,Westmoreland,3,,
12/14/2020,York,1,,
12/14/2020,Out-of-State,2,,
12/15/2020,Allegheny,7,4,
12/15/2020,Berks,1,,
06/30/2021,Union,14,12,
12/15/2020,Butler,1,,
12/15/2020,Cambria,,1,
10/23/2021,Delaware,420,188,674
01/25/2021,Erie,823,235,
12/15/2020,Crawford,10,,
12/15/2020,Dauphin,1,,
12/15/2020,Delaware,2,,
12/15/2020,Erie,2,,
12/15/2020,Fayette,1,,
12/15/2020,Franklin,2,,
12/15/2020,Greene,1,,
12/15/2020,Lackawanna,5,,
11/05/2021,Cameron,5,4,18
12/15/2020,Luzerne,3,,
12/15/2020,Mifflin,1,,
12/15/2020,Monroe,1,,
12/15/2020,Montgomery,6,,
12/15/2020,Montour,1,,
12/15/2020,Northampton,3,,
11/09/2021,Philadelphia,557,199,333
12/15/2020,Philadelphia,1,,
12/15/2020,Schuylkill,1,,
12/15/2020,Union,2,,
12/15/2020,Venango,1,,
05/04/2021,Huntingdon,27,56,
12/15/2020,Westmoreland,2,,
12/15/2020,York,2,,
12/16/2020,Adams,1,,
12/16/2020,Beaver,1,,
12/16/2020,Bedford,1,,
12/16/2020,Berks,1,,
06/01/2021,Westmoreland,290,811,
05/21/2021,Westmoreland,596,853,
07/30/2021,Dauphin,242,193,
12/16/2020,Clearfield,1,,
12/16/2020,Clinton,1,,
04/29/2021,Bradford,73,485,
12/16/2020,Dauphin,1,,
12/16/2020,Delaware,13,,
12/16/2020,Erie,4,,
12/16/2020,Fayette,77,,
03/09/2021,Clearfield,433,539,
12/16/2020,Greene,1,,
12/16/2020,Huntingdon,2,,
12/16/2020,Juniata,7,,
12/16/2020,Lackawanna,13,,
06/26/2021,Lehigh,254,448,
