County Name,Date of Death,Total Deaths
Northampton,03/01/2020 12:00:00 AM,62
Crawford,02/01/2021 12:00:00 AM,3753
Somerset,03/01/2021 12:00:00 AM,5794
Allegheny,11/01/2020 12:00:00 AM,15013
Lebanon,12/01/2020 12:00:00 AM,4464
Centre,03/01/2020 12:00:00 AM,0
Greene,12/01/2020 12:00:00 AM,370
Schuylkill,05/01/2020 12:00:00 AM,802
Snyder,04/01/2021 12:00:00 AM,2507
Blair,07/01/2020 12:00:00 AM,55
Carbon,11/01/2021 12:00:00 AM,3299
Franklin,09/01/2021 12:00:00 AM,12088
Crawford,08/01/2021 12:00:00 AM,4932
Tioga,11/01/2021 12:00:00 AM,2199
Clarion,08/01/2021 12:00:00 AM,3049
Blair,03/01/2021 12:00:00 AM,9634
Cambria,07/01/2020 12:00:00 AM,93
Montgomery,06/01/2021 12:00:00 AM,52319
Indiana,04/01/2020 12:00:00 AM,72
McKean,12/01/2020 12:00:00 AM,481
Delaware,01/01/2021 12:00:00 AM,34544
Snyder,05/01/2020 12:00:00 AM,22
Mercer,06/01/2020 12:00:00 AM,180
Cambria,08/01/2020 12:00:00 AM,115
Lycoming,03/01/2020 12:00:00 AM,0
Mercer,04/01/2020 12:00:00 AM,31
Philadelphia,12/01/2020 12:00:00 AM,74410
Montgomery,04/01/2021 12:00:00 AM,49846
Montour,02/01/2021 12:00:00 AM,1731
Allegheny,04/01/2020 12:00:00 AM,1661
Berks,04/01/2020 12:00:00 AM,2280
Mercer,07/01/2021 12:00:00 AM,8261
Luzerne,11/01/2020 12:00:00 AM,7847
Jefferson,09/01/2021 12:00:00 AM,3227
Juniata,02/01/2021 12:00:00 AM,2231
Monroe,10/01/2020 12:00:00 AM,4168
Greene,11/01/2020 12:00:00 AM,75
Clearfield,05/01/2021 12:00:00 AM,4621
Montour,08/01/2021 12:00:00 AM,2077
Allegheny,03/01/2020 12:00:00 AM,11
Lackawanna,02/01/2021 12:00:00 AM,11589
Fayette,07/01/2020 12:00:00 AM,132
Lebanon,04/01/2021 12:00:00 AM,8255
Lycoming,08/01/2021 12:00:00 AM,9448
Schuylkill,11/01/2020 12:00:00 AM,4642
Erie,02/01/2021 12:00:00 AM,10423
Monroe,10/01/2021 12:00:00 AM,11134
Wyoming,03/01/2021 12:00:00 AM,1321
Adams,10/01/2020 12:00:00 AM,854
Armstrong,10/01/2021 12:00:00 AM,5984
Dauphin,07/01/2020 12:00:00 AM,4781
Jefferson,09/01/2020 12:00:00 AM,76
Cameron,05/01/2020 12:00:00 AM,0
Cameron,08/01/2021 12:00:00 AM,310
Adams,06/01/2020 12:00:00 AM,329
Cambria,04/01/2021 12:00:00 AM,12608
Mifflin,05/01/2021 12:00:00 AM,5518
Perry,11/01/2020 12:00:00 AM,286
Cumberland,08/01/2021 12:00:00 AM,16668
Blair,12/01/2020 12:00:00 AM,4839
Tioga,10/01/2021 12:00:00 AM,3948
Columbia,06/01/2020 12:00:00 AM,988
Lawrence,11/01/2020 12:00:00 AM,2031
Greene,04/01/2020 12:00:00 AM,0
Montgomery,03/01/2021 12:00:00 AM,50021
York,10/01/2020 12:00:00 AM,6134
Lehigh,09/01/2020 12:00:00 AM,10646
Snyder,08/01/2021 12:00:00 AM,2708
Erie,04/01/2020 12:00:00 AM,13
Lycoming,04/01/2020 12:00:00 AM,2
Franklin,11/01/2021 12:00:00 AM,7609
Fulton,06/01/2021 12:00:00 AM,450
Clearfield,10/01/2020 12:00:00 AM,217
Susquehanna,06/01/2020 12:00:00 AM,613
Montgomery,02/01/2021 12:00:00 AM,42874
Fulton,07/01/2021 12:00:00 AM,504
Blair,05/01/2021 12:00:00 AM,10375
Blair,04/01/2020 12:00:00 AM,0
Lawrence,01/01/2021 12:00:00 AM,5110
Beaver,05/01/2020 12:00:00 AM,2221
Montour,03/01/2021 12:00:00 AM,1984
Dauphin,03/01/2020 12:00:00 AM,2
Butler,10/01/2020 12:00:00 AM,839
Elk,04/01/2020 12:00:00 AM,0
Wayne,11/01/2021 12:00:00 AM,1887
Indiana,01/01/2021 12:00:00 AM,4517
Beaver,10/01/2021 12:00:00 AM,14385
Cumberland,03/01/2020 12:00:00 AM,0
Carbon,07/01/2021 12:00:00 AM,5487
Sullivan,06/01/2020 12:00:00 AM,0
Allegheny,06/01/2020 12:00:00 AM,5578
Lehigh,06/01/2020 12:00:00 AM,8546
Delaware,08/01/2021 12:00:00 AM,44680
Venango,06/01/2021 12:00:00 AM,3013
Clinton,03/01/2021 12:00:00 AM,1845
Fayette,11/01/2021 12:00:00 AM,6988
Wayne,07/01/2020 12:00:00 AM,279
Wayne,05/01/2020 12:00:00 AM,202
Lancaster,03/01/2020 12:00:00 AM,13
Juniata,09/01/2020 12:00:00 AM,199
Clearfield,07/01/2021 12:00:00 AM,4900
Lycoming,11/01/2020 12:00:00 AM,1080
Fulton,06/01/2020 12:00:00 AM,30
Lawrence,11/01/2021 12:00:00 AM,4415
Fulton,12/01/2020 12:00:00 AM,285
Mifflin,07/01/2021 12:00:00 AM,5663
Bradford,10/01/2020 12:00:00 AM,328
Clearfield,03/01/2020 12:00:00 AM,0
Cambria,09/01/2020 12:00:00 AM,206
Bucks,06/01/2020 12:00:00 AM,16810
Berks,08/01/2020 12:00:00 AM,11826
Cameron,12/01/2020 12:00:00 AM,46
Northumberland,03/01/2020 12:00:00 AM,0
Susquehanna,05/01/2021 12:00:00 AM,1885
Adams,07/01/2021 12:00:00 AM,5873
Centre,06/01/2021 12:00:00 AM,6786
Washington,11/01/2021 12:00:00 AM,6566
Bedford,02/01/2021 12:00:00 AM,3580
Clinton,08/01/2020 12:00:00 AM,186
Venango,01/01/2021 12:00:00 AM,2096
Tioga,10/01/2020 12:00:00 AM,97
Delaware,04/01/2020 12:00:00 AM,4255
Carbon,08/01/2021 12:00:00 AM,5492
Sullivan,08/01/2021 12:00:00 AM,653
Mifflin,04/01/2021 12:00:00 AM,5293
Adams,03/01/2020 12:00:00 AM,0
Venango,09/01/2020 12:00:00 AM,30
Union,03/01/2020 12:00:00 AM,0
Montgomery,08/01/2020 12:00:00 AM,26964
Lancaster,02/01/2021 12:00:00 AM,28189
Crawford,09/01/2020 12:00:00 AM,82
Cameron,04/01/2020 12:00:00 AM,0
Lackawanna,11/01/2021 12:00:00 AM,8462
Bedford,11/01/2021 12:00:00 AM,2918
Lehigh,05/01/2021 12:00:00 AM,26525
Huntingdon,05/01/2020 12:00:00 AM,31
Bucks,11/01/2020 12:00:00 AM,19895
McKean,11/01/2021 12:00:00 AM,1554
Crawford,05/01/2020 12:00:00 AM,0
Mercer,03/01/2020 12:00:00 AM,0
Westmoreland,08/01/2021 12:00:00 AM,24655
Lawrence,03/01/2021 12:00:00 AM,6089
Wyoming,12/01/2020 12:00:00 AM,911
Delaware,02/01/2021 12:00:00 AM,34644
Fayette,04/01/2020 12:00:00 AM,82
Mercer,10/01/2021 12:00:00 AM,10081
Sullivan,10/01/2020 12:00:00 AM,24
Philadelphia,09/01/2020 12:00:00 AM,54931
Juniata,05/01/2021 12:00:00 AM,2666
Cumberland,03/01/2021 12:00:00 AM,15273
Beaver,05/01/2021 12:00:00 AM,11870
Philadelphia,05/01/2020 12:00:00 AM,40402
Pike,08/01/2021 12:00:00 AM,1691
Washington,11/01/2020 12:00:00 AM,1801
Westmoreland,11/01/2020 12:00:00 AM,5327
Venango,07/01/2020 12:00:00 AM,0
Butler,03/01/2020 12:00:00 AM,7
Huntingdon,06/01/2020 12:00:00 AM,120
Wyoming,09/01/2020 12:00:00 AM,240
Carbon,11/01/2020 12:00:00 AM,1273
Lackawanna,07/01/2020 12:00:00 AM,6516
Beaver,08/01/2021 12:00:00 AM,12403
Cameron,09/01/2020 12:00:00 AM,0
Potter,11/01/2020 12:00:00 AM,72
Indiana,07/01/2020 12:00:00 AM,186
Montour,10/01/2021 12:00:00 AM,2195
Carbon,07/01/2020 12:00:00 AM,864
Cumberland,01/01/2021 12:00:00 AM,12516
Mifflin,06/01/2020 12:00:00 AM,30
Dauphin,05/01/2021 12:00:00 AM,17008
Potter,05/01/2021 12:00:00 AM,713
Carbon,03/01/2021 12:00:00 AM,4824
Chester,09/01/2021 12:00:00 AM,25651
Tioga,02/01/2021 12:00:00 AM,2611
Columbia,02/01/2021 12:00:00 AM,3427
Perry,11/01/2021 12:00:00 AM,2077
McKean,06/01/2021 12:00:00 AM,2230
Perry,02/01/2021 12:00:00 AM,2307
Susquehanna,11/01/2021 12:00:00 AM,1126
Clarion,07/01/2020 12:00:00 AM,62
Fulton,04/01/2021 12:00:00 AM,450
Philadelphia,11/01/2020 12:00:00 AM,60193
Lycoming,05/01/2021 12:00:00 AM,8897
Carbon,09/01/2021 12:00:00 AM,5540
Northampton,07/01/2021 12:00:00 AM,22495
Union,05/01/2021 12:00:00 AM,2712
Lackawanna,09/01/2020 12:00:00 AM,6446
Jefferson,10/01/2020 12:00:00 AM,107
Fulton,08/01/2021 12:00:00 AM,545
Sullivan,03/01/2021 12:00:00 AM,616
Somerset,04/01/2020 12:00:00 AM,0
Wayne,02/01/2021 12:00:00 AM,1768
Bucks,04/01/2020 12:00:00 AM,3267
Cumberland,02/01/2021 12:00:00 AM,13236
Crawford,06/01/2020 12:00:00 AM,1
Union,05/01/2020 12:00:00 AM,31
Dauphin,03/01/2021 12:00:00 AM,15947
Montour,05/01/2020 12:00:00 AM,0
Lackawanna,09/01/2021 12:00:00 AM,15001
Wyoming,06/01/2021 12:00:00 AM,1591
Columbia,07/01/2021 12:00:00 AM,4216
Armstrong,04/01/2020 12:00:00 AM,43
Luzerne,06/01/2021 12:00:00 AM,24870
Perry,09/01/2020 12:00:00 AM,180
Schuylkill,04/01/2021 12:00:00 AM,11741
Northampton,07/01/2020 12:00:00 AM,9048
Cambria,01/01/2021 12:00:00 AM,11087
McKean,07/01/2020 12:00:00 AM,31
Mercer,11/01/2020 12:00:00 AM,1332
Fayette,06/01/2020 12:00:00 AM,120
Northumberland,06/01/2020 12:00:00 AM,143
Butler,12/01/2020 12:00:00 AM,5135
Clinton,07/01/2021 12:00:00 AM,2108
Adams,10/01/2021 12:00:00 AM,6725
Armstrong,06/01/2020 12:00:00 AM,164
Columbia,04/01/2020 12:00:00 AM,211
Delaware,09/01/2021 12:00:00 AM,43978
Butler,03/01/2021 12:00:00 AM,11909
Lackawanna,08/01/2020 12:00:00 AM,6568
Schuylkill,06/01/2020 12:00:00 AM,1379
Dauphin,04/01/2020 12:00:00 AM,346
Westmoreland,06/01/2020 12:00:00 AM,1149
Monroe,01/01/2021 12:00:00 AM,7232
Monroe,07/01/2020 12:00:00 AM,3789
Luzerne,06/01/2020 12:00:00 AM,5205
Beaver,10/01/2020 12:00:00 AM,4363
Erie,09/01/2020 12:00:00 AM,1096
Lawrence,04/01/2020 12:00:00 AM,157
Northumberland,11/01/2021 12:00:00 AM,6623
Clarion,10/01/2021 12:00:00 AM,3711
Centre,09/01/2021 12:00:00 AM,7005
Crawford,06/01/2021 12:00:00 AM,4636
Northumberland,05/01/2020 12:00:00 AM,64
Columbia,08/01/2021 12:00:00 AM,4232
McKean,02/01/2021 12:00:00 AM,1717
Pike,04/01/2020 12:00:00 AM,200
Lawrence,02/01/2021 12:00:00 AM,5194
Montgomery,09/01/2020 12:00:00 AM,26483
Columbia,07/01/2020 12:00:00 AM,1084
Luzerne,08/01/2020 12:00:00 AM,5797
Butler,09/01/2021 12:00:00 AM,13441
Dauphin,04/01/2021 12:00:00 AM,16034
